3.0.1 Current,Name,Mana cost,Card Type,Rarity,Statline,Attributes / Statuses,Ability
,Something Wicked Approaches,3,Spell,Common,/,/,"Fetch 1 (Non-Legendary Creature). If you have 3+ cards in your Reserves, repeat once."
,Vengeful Empath,3,Creature,Uncommon,1/3,/,"Enrage(Innate): Gain +1/+0.
Devotion: When enraged, Mobilize 1 or less."
,Aetherial Rift,4,Spell,Common,/,/,"Shuffle 2 Surges into your Deck  and gain 4 Mana.
Devotion: Shuffle 3 instead."
,Bighorn Packbeast,4,Creature,Rare,2/6,"Multiblocker, Unyielding",Wounded: Mobilize X or less where X is the health lost.
,Carrion Decomposer ,4,Ooze Creature,Rare,3/3,/,"Summoning 2 Slimes in a single turn mobilizes this card
Entrance: Add a copy of this card to your Reserves."
,Heartshade Protector,4,Nomad Creature,Uncommon,3/5,Multiblocker,"Deathblow: If the killed creature was Innate and Marked, Shift it to your Reserves."
,Lavoraad Whelp,4,Creature,Common,4/3,Flight,Activate: Deal 2 direct damage then take 2 damage.
,Mob Rule,4,Spell,Common,/,/,Deal 2 damage to an enemy creature. Repeat once for each friendly creature.
,Roam the Wild,4,Spell,Common,/,/,"(Reservable)
Give all creatures in your Reserves +1/+1 and draw 2 cards."
,Boneface Berserker,5,Nomad Creature,Common,6/4,/,"Mobilized: Gain +0/+2.
Entrance: Duel an enemy creature."
,Equilibrium,5,Spell,Common,/,/,Shift a friendly Innate creature into your Reserves then Mobilize another creature with the same mana cost or less.
,Gelatinize,5,Spell,Common,/,/,"Mobilize 5 or less.
The mobilized creature gains +2/+2 and also becomes an Ooze."
,Global Promotions,5,Spell,Uncommon,/,/,Banish all friendly Innate creatures then summon random replacement that cost 1 more Mana.
,"Gurm, Former Taskmaster",5,Elemental Creature,Legendary,3/5,"Amped, Ranged","Mobilized: Deal X damage to an enemy creature where X is this creature's attack.
Activate: Give another creature +2/-2."
,Seething Speardancer,5,Nomad Creature,Uncommon,5/3,"Ranged, Quickstrike",Reserved / Mobilized: Draw a card.
,Sporecaster,5,Creature,Common,2/2,/,"Mobilized: draw 3 cards.
Entrance: Your opponent gains control.
Aftermath: Lose 3 Life."
,Chained No More,5,Spell,Common,/,/,Unexhaust all friendly creatures and give them Restless until end of turn.
,Worshipper of Drakth,5,Creature,Common,4/4,/,"Last Word: If your deck contains no Neutral cards, Shift the top 3 creatures in your Graveyard into your Reserves."
,Zealous Ooze,5,Ooze Creature,Uncommon,4/4,/,"When reserved: Summon a Slime.
Entrance: Summon a Token copy of this creature without any abilities and half it's stats."
,Poisoned Darts,6,Enchantment Spell,Rare,/,/,"(Reservable)
Prepare: If a creature which could have attacked did not attack on its owners turn, it becomes Poisoned."
,Gorging Jelly,6,Ooze Creature,Uncommon,5/5,/,"Entrance: Banish another creature.
Last Word: Return the banished creature."
,Serrated Stalker,6,Creature,Uncommon,4/4,/,"Entrance: If Outnumbered, kill your opponent's highest attack creature.
Last Word: Mobilize 4 or less."
,Sludge Defender,6,Ooze Creature,Uncommon,3/5,"Taunt, Unyielding",Last Word: Summon a Slime.
,Sudden Onslaught,6,Spell,Uncommon,/,/,"Mobilize 3 or Less 3 times.
Draw a card for each Mobilize that didn't trigger."
,Glorious Overseer,7,Elemental Creature,Uncommon,5/5,/,"Other Friendly creatures have +1/+1.
Prepare: Mobilize 2 or less."
,Noctournal Nemesis,7,Creature,Uncommon,4/7,Backlash,"Entrance: Mark a creature.
Last Word: Kill a Marked enemy creature."
,Carnivorous Cobra,8,Creature,Uncommon,8/5,/,"Adjacent creatures have +2/+0.
Last Word: Mobilize 5 or less."
,"Dyani, Tribe Leader",8,Nomad Creature,Legendary,9/7,Unyielding,"Aftermath: If an enemy creature died this turn, give all enemy creatures -1/-0 and all other friendly Nomads +1/+0."
,Rage Beast,8,Creature,Rare,4/10,Unyielding,"If this kills a creature while blocking, it can block again.
Devotion: While summoned this has Restless."
,"Xyron, Acidic Overlord",9,Ooze Creature,Legendary,7/7,/,"Enrage (Innate): Summon a Slime.
Enrage (Ooze): Summon a Slime."
,Lumbering Striker,10,Creature,Rare,10/10,Multiblocker,Deathblow: Mobilize the highest mana cost creature in your Reserves.
,Overwhelming Magi,10,Creature,Rare,7/7,/,"Mobilized: Gain +2/+0.
Entrance: Kill all other creatures with X or less attack where X is this creature's attack."
,,,,,,,
,Goblin,0,Token,/,2/1,Amped,/
,Slime ,0,Ooze Token,/,1/1,/,Activate: Banish this creature then give adjacent Oozes +1/+1.
,Surge,0,Boon,/,/,/,"When drawn, gain 2 Mana.
Draw another card."
,Totem of Drakth,0,Token,/,0/2,Pacifist,"When you summon an Innate creature, draw a card and gain 1 Mana. Aftermath: Banish this creature."
,Wyrmling,0,Token,/,1/2,Flight,
