3.0.1 Current,Name,Mana cost,Card Type,Rarity,Statline,Attributes / Statuses,Ability
,Spellbreaker,5,Creature,Uncommon,3/6,/,"Entrance: Your opponent's spells cost 5 more Mana until your next turn.
Discarded:Banish the top spell from the enemy Graveyard."
,Veil of Shadows,5,Spell,Common,/,/,"Mark 2 creatures.
Suppress all Marked enemy creatures.
Remove Pacifist from all summoned creatures."
,Worshiper of Taluum,5,Creature,Common,4/4,Taunt,"Last Word: If your deck contains no Neutral cards, give all friendly creatures +0/+2."
,Arbiter of Garsang,6,Creature,Uncommon,3/8,Multiblocker,"Enrage: (Underling): Deal 1 direct damage.
Discarded: A random friendly non-Underling becomes an Underling."
,Archival Collapse,6,Spell,Common,/,/,"Kill the left and rightmost Innate enemy creatures.
Discarded: Banish the top creature in your opponent's Graveyard."
,Consequence of Chaos,6,Spell,Uncommon,/,/,"All non-Pacifist creatures lose 2 health.
Discarded: Increase health lost by 2."
,Endless Enforcers,6,Underling Creature,Rare,2/8,/,Wounded: Summon a base Token copy of Endless Enforcer with this creatures current stats.
,Forceful Acquisition,6,Spell,Common,/,/,"Gain control of an enemy creature and reduce its attack to 0, then make it an Underling.
Discarded: Give a random enemy creature -1/-0."
,Nullmage Resident,6,Creature,Common,4/4,/,"All creatures in all player's hands cost 2 more Mana.
Discarded: A random 9 Mana or less creature in all player's hands costs 1 more Mana."
,Perpetual Watchman,6,Creature,Common,1/8,"Multiblocker, Restless","Blocking: Give friendly Loophole creatures +0/+1.
Discarded: Give a random friendly Loophole creature +0/+1."
,Copyright Infringment,4,Spell,Uncommon,/,/,"Summon a copy of a friendly non-Legendary creature that costs the same or less than this spell.
Discarded: Shuffle all Decks."
,Grant Tutoring,9,Spell,Uncommon,/,/,Fetch 1 (Non-Legendary Creature) then Banish it and replace the Abilities of all friendly Underlings with its Abilities.
,Lawless Firebrand,7,Elemental Creature,Uncommon,3/10,Multiblocker,"Deathblow: Deal 2 direct damage.
Discarded: Deal 1 direct damage."
,Violent Repossession,6,Spell,Uncommon,/,/,"Banish an enemy creature. If it cost less mana than this, draw a card.
Discarded: Banish the top creature from the enemy Graveyard."
,"Nakoma, Order Informant",7,Creature,Legendary,2/10,Pacifist,"After your opponent plays a card from their hand, increase the mana cost of all other cards in their hand by 1 until end of turn."
,Improvised Laws,8,Spell,Common,/,/,"Give all creatures -2/-2 until next turn.
Repeat for each of your contracts in play.
Discarded: Reduce mana cost by 1."
,Suppressor of Magic,9,Elemental Creature,Rare,7/7,/,"Activate: Suppress a creature.
Discarded: A random 9 mana or less spell in your opponent's hand costs 1 more Mana."
,Tomerralian Turncoat,8,Creature,Uncommon,5/9,/,"Activate: Give all other summoned creatures -2/-0.
Devotion:-0/-2 instead."
,"Kira, Heroine of Garsang",8,Creature,Legendary,2/10,Loophole,"After you lose Life, give all other friendly creatures +0/+1..
Discarded: Give a random friendly creature +0/+2."
,,,,,,,
,Sell-Sword,0,Underling Token,/,1/1,/,Last Word: All players gain 1 Life.
,Life Elixir,0,Boon,/,/,/,"When drawn, gain 2 Life.
Draw another card."
,Decoy,0,Underling Token,/,0/1,Taunt,"When targeted by a spell or ability as a result of Taunt, gain a Mana fragment."
