3.0.1 Current,Name,Mana cost,Card Type,Rarity,Statline,Attributes / Statuses,Ability
,"Alkar, the Former Master",10,Undead Creature,Legendary,1/10,/,"Mastery 2
Your spells in hand cost X less Mana where X is your current Mastery. When you cast a spell, lose 1 Life."
,Cosmic Reanimation,6,Spell,Uncommon,/,/,"All players resummon the top 3 creatures from their Graveyards.
They are Undead and have Doomed."
,Dread Weaver,6,Undead Creature,Common,6/6,/,Non-Elemental creatures cannot use their Activate abilities.
,Mana Break,6,Spell,Uncommon,/,/,"All creatures take damage equal to half their mana cost.
Devotion: Equal to their mana cost instead."
,Searing Scorcher,6,Elemental Creature ,Uncommon,6/4,Unyeilding,"While Marked, has +0/+3."
,Zealous Archivist,6,Undead Creature,Uncommon,3/5,Doomed,"Mastery 1
Aftermath: Banish a random spell from your Graveyard and add a Cantrip copy to your hand."
,Dark Matter Devastator,7,Elemental Creature ,Uncommon,7/7,/,"Activate: Deal 3 damage to another creature. If it wasn't Marked, this also takes 3 damage."
,Marrow Harvester,7,Undead Creature,Rare,4/8,Multiblocker,"Deathblow: Draw a card.
Devotion: Entrance / Deathblow instead."
,Animated Weaponry,8,Creature,Uncommon,6/8,/,"Adjacent creatures have +3/+0.
Entrance: Give adjacent creature Taunt."
,Mastecraft Flesh Golem,9,Undead Creature,Uncommon,2/12,Multiblocker,"Prepare: Summon a Bone Amalgamate, if you can't; deal X direct damage where X is this creature's attack."
,The Final Spell,10,Spell,Rare,/,/,"Shift all summoned creatures to their owner's Graveyard.
Exhaust your Master."
,Wraith's Wrath,20,Spell,Rare,/,/,"Mana cost is reduced by 1 for each card in your Graveyard.
Deal 5 damage."
,,,,,,,
,Cursed Cadaver,0,Undead Token,/,0/*,Pacifist,Activate: Sacrifice this creature then give your Master +1/+0 until your next turn.
,Desperado,0,Undead Token,/,*/0,"Quickstrike, Ranged",/
,Soul Essence,2,Cantrip,/,/,/,Give all friendly creatures +1/+1 until your next turn.
,Bone Amalgamate,0,Undead Token,/,1/1,/,"Last Word: Give a random friendly Undead +1/+1. If this was sacrificed, +2/+2 instead."
,Echoes of Verentihil,2,Cantrip,/,/,/,"Deal 1 Damage.
Draw a card."
,Crystalized Aether ,1,Cantrip,/,/,/,"Choose one:
-Fetch 1 (Elemental)
-Mark a creature
-Gain 2 Life"
